"areacd","category","value"
"K02000001","Aged 0 to 15",11760609
"K02000001","Aged 16 to 64",40428051
"K02000001","Aged 65+",10071826
"K03000001","Aged 0 to 15",11381089
"K03000001","Aged 16 to 64",39267605
"K03000001","Aged 65+",9818459
"E06000001","Aged 0 to 15",18074
"E06000001","Aged 16 to 64",58287
"E06000001","Aged 65+",15169
"E06000002","Aged 0 to 15",27887
"E06000002","Aged 16 to 64",88753
"E06000002","Aged 65+",20633
"E06000003","Aged 0 to 15",24900
"E06000003","Aged 16 to 64",85586
"E06000003","Aged 65+",25381
"E06000004","Aged 0 to 15",37036
"E06000004","Aged 16 to 64",123879
"E06000004","Aged 65+",29063
"E06000005","Aged 0 to 15",20065
"E06000005","Aged 16 to 64",66576
"E06000005","Aged 65+",17714
"E06000047","Aged 0 to 15",87865
"E06000047","Aged 16 to 64",330368
"E06000047","Aged 65+",89078
"E06000057","Aged 0 to 15",54075
"E06000057","Aged 16 to 64",199659
"E06000057","Aged 65+",60755
"E08000021","Aged 0 to 15",46954
"E08000021","Aged 16 to 64",187528
"E08000021","Aged 65+",38940
"E08000022","Aged 0 to 15",35440
"E08000022","Aged 16 to 64",129044
"E08000022","Aged 65+",34533
"E08000023","Aged 0 to 15",26367
"E08000023","Aged 16 to 64",95397
"E08000023","Aged 65+",26745
"E08000024","Aged 0 to 15",49165
"E08000024","Aged 16 to 64",181156
"E08000024","Aged 65+",45888
"E08000037","Aged 0 to 15",34832
"E08000037","Aged 16 to 64",128218
"E08000037","Aged 65+",34431
"E06000006","Aged 0 to 15",24674
"E06000006","Aged 16 to 64",81281
"E06000006","Aged 65+",17681
"E06000007","Aged 0 to 15",38559
"E06000007","Aged 16 to 64",130501
"E06000007","Aged 65+",30997
"E06000008","Aged 0 to 15",34415
"E06000008","Aged 16 to 64",93096
"E06000008","Aged 65+",18686
"E06000009","Aged 0 to 15",25546
"E06000009","Aged 16 to 64",89997
"E06000009","Aged 65+",27035
"E06000049","Aged 0 to 15",66323
"E06000049","Aged 16 to 64",233238
